r	vel	e_vel
9.751	219.7	4.12
11.075	217.75	4.7
10.622	225.42	4.37
10.545	234.55	3.84
9.283	221.28	3.22
8.699	218.27	3.68
10.234	216.9	5.28
9.669	218.45	1.98
10.879	203.11	2.71
9.906	215.4	2.22
10.781	226.41	2.15
9.882	229.92	3.38
8.545	225.55	2.24
9.03	224.05	3.8
10.538	227.34	2.75
10.714	216.21	3.36
10.912	232.31	2.86
9.846	216.23	1.4
11.485	222.99	2.31
10.073	212.4	3.43
9.368	226.44	3.1
10.953	222.76	3.03
11.368	225.73	3.25
9.334	225.45	3.46
10.004	205.15	1.93
10.217	229.76	3.63
10.605	223.97	2.3
10.508	204.7	2.23
10.547	202.24	2.59
10.499	231.5	1.83
8.524	228.92	0.68
10.265	214.62	3.84
11.926	215.62	3.02
9.849	235.44	3.52
11.896	219.11	1.54
9.717	228.91	0.84
17.842	225.67	5.75
10.483	223.47	2.13
17.786	222.59	3.76
10.04	228.9	3.41
12.136	219.35	2.23
11.921	228.28	5.03
12.177	232.39	2.45
12.556	235.63	3.22
8.65	230.81	0.41
9.879	214.06	1.34
9.829	213.17	1.58
9.664	214.08	3.89
10.774	224.43	1.82
9.899	209.4	3.08
10.823	207.69	3.36
10.133	229.18	4.17
12.864	236.76	2.31
12.277	233.42	2.18
10.887	266.02	3.36
13.187	254.44	3.28
12.242	209.82	1.96
10.179	200.92	1.11
10.113	217.2	2.64
13.088	229.66	2.93
10.178	231.09	2.3
10.436	207.28	2.46
11.367	234.84	1.86
10.734	216.81	2.15
12.966	228.68	3.07
10.698	234.74	2.89
11.346	231.46	1.64
13.835	230.36	2.21
12.108	220.56	2.01
10.839	217.28	1.96
11.091	228.36	2.6
12.259	221.06	2.25
9.391	226.11	2.01
9.585	257.89	3.7
12.515	237.21	1.24
10.791	215.83	1.4
10.885	231.46	2.06
11.743	228.36	1.41
12.55	220.86	1.02
11.856	237.89	1.42
10.43	236.77	1.39
11.731	230.16	2.06
13.566	221.48	2.23
11.955	229.45	1.84
14.252	232.86	1.82
11.108	229.73	1.75
14.322	222.03	2.02
9.408	228.67	4.29
18.293	215.98	3.24
11.298	228.69	1.73
13.051	249.26	3.69
12.815	239.13	1.02
13.237	215.84	1.76
12.48	224.19	2.17
13.309	224.85	1.49
8.626	242.24	0.32
15.537	233.13	3.33
13.528	225.51	2.01
11.283	224.33	1.78
14.789	229.97	1.54
13.867	229.67	1.96
12.321	218.54	1.39
15.129	225.2	1.57
12.623	235.29	1.72
9.634	216.89	1.1
8.664	228.34	1.4
10.544	233.68	1.29
15.993	235.43	2.49
